Depth,Coverage,Integral,Number of reads
34.927083333333336,98.64583333333333,33530.0,332
position,depth,type_of_strand
0,0.0,+
1,0.0,+
2,0.0,+
3,0.0,+
4,0.0,+
5,0.0,+
6,0.0,+
7,0.0,+
8,0.0,+
9,0.0,+
10,0.0,+
11,0.0,+
12,0.0,+
13,0.0,+
14,0.0,+
15,0.0,+
16,0.0,+
17,0.0,+
18,0.0,+
19,0.0,+
20,0.0,+
21,0.0,+
22,2.0,+
23,2.0,+
24,2.0,+
25,2.0,+
26,2.0,+
27,2.0,+
28,2.0,+
29,2.0,+
30,2.0,+
31,2.0,+
32,2.0,+
33,2.0,+
34,2.0,+
35,2.0,+
36,2.0,+
37,2.0,+
38,2.0,+
39,4.0,+
40,4.0,+
41,4.0,+
42,4.0,+
43,4.0,+
44,4.0,+
45,4.0,+
46,6.0,+
47,6.0,+
48,6.0,+
49,6.0,+
50,6.0,+
51,6.0,+
52,6.0,+
53,6.0,+
54,6.0,+
55,6.0,+
56,6.0,+
57,6.0,+
58,6.0,+
59,6.0,+
60,6.0,+
61,6.0,+
62,6.0,+
63,6.0,+
64,6.0,+
65,6.0,+
66,6.0,+
67,6.0,+
68,6.0,+
69,6.0,+
70,6.0,+
71,6.0,+
72,6.0,+
73,6.0,+
74,6.0,+
75,6.0,+
76,6.0,+
77,6.0,+
78,6.0,+
79,6.0,+
80,6.0,+
81,6.0,+
82,6.0,+
83,6.0,+
84,6.0,+
85,8.0,+
86,8.0,+
87,8.0,+
88,8.0,+
89,8.0,+
90,8.0,+
91,8.0,+
92,8.0,+
93,8.0,+
94,8.0,+
95,8.0,+
96,8.0,+
97,8.0,+
98,8.0,+
99,10.0,+
100,10.0,+
101,10.0,+
102,10.0,+
103,10.0,+
104,10.0,+
105,10.0,+
106,10.0,+
107,10.0,+
108,10.0,+
109,10.0,+
110,10.0,+
111,10.0,+
112,10.0,+
113,10.0,+
114,10.0,+
115,10.0,+
116,10.0,+
117,10.0,+
118,10.0,+
119,10.0,+
120,12.0,+
121,12.0,+
122,12.0,+
123,10.0,+
124,10.0,+
125,10.0,+
126,10.0,+
127,10.0,+
128,10.0,+
129,10.0,+
130,10.0,+
131,10.0,+
132,10.0,+
133,10.0,+
134,10.0,+
135,10.0,+
136,12.0,+
137,12.0,+
138,12.0,+
139,12.0,+
140,10.0,+
141,10.0,+
142,10.0,+
143,10.0,+
144,10.0,+
145,10.0,+
146,12.0,+
147,12.0,+
148,14.0,+
149,14.0,+
150,14.0,+
151,14.0,+
152,14.0,+
153,14.0,+
154,14.0,+
155,14.0,+
156,14.0,+
157,14.0,+
158,14.0,+
159,14.0,+
160,14.0,+
161,14.0,+
162,14.0,+
163,14.0,+
164,14.0,+
165,16.0,+
166,18.0,+
167,18.0,+
168,18.0,+
169,18.0,+
170,18.0,+
171,18.0,+
172,18.0,+
173,18.0,+
174,18.0,+
175,18.0,+
176,18.0,+
177,18.0,+
178,18.0,+
179,20.0,+
180,20.0,+
181,20.0,+
182,22.0,+
183,22.0,+
184,22.0,+
185,22.0,+
186,22.0,+
187,22.0,+
188,22.0,+
189,22.0,+
190,22.0,+
191,22.0,+
192,22.0,+
193,22.0,+
194,22.0,+
195,22.0,+
196,22.0,+
197,22.0,+
198,22.0,+
199,22.0,+
200,20.0,+
201,20.0,+
202,20.0,+
203,20.0,+
204,20.0,+
205,20.0,+
206,22.0,+
207,22.0,+
208,22.0,+
209,22.0,+
210,22.0,+
211,22.0,+
212,24.0,+
213,24.0,+
214,26.0,+
215,26.0,+
216,26.0,+
217,26.0,+
218,26.0,+
219,26.0,+
220,26.0,+
221,24.0,+
222,24.0,+
223,24.0,+
224,24.0,+
225,24.0,+
226,24.0,+
227,24.0,+
228,28.0,+
229,28.0,+
230,28.0,+
231,28.0,+
232,28.0,+
233,28.0,+
234,30.0,+
235,32.0,+
236,32.0,+
237,30.0,+
238,30.0,+
239,30.0,+
240,30.0,+
241,30.0,+
242,30.0,+
243,30.0,+
244,30.0,+
245,30.0,+
246,30.0,+
247,32.0,+
248,32.0,+
249,30.0,+
250,30.0,+
251,30.0,+
252,30.0,+
253,30.0,+
254,30.0,+
255,30.0,+
256,30.0,+
257,30.0,+
258,30.0,+
259,30.0,+
260,30.0,+
261,32.0,+
262,32.0,+
263,32.0,+
264,32.0,+
265,32.0,+
266,30.0,+
267,28.0,+
268,28.0,+
269,30.0,+
270,30.0,+
271,30.0,+
272,30.0,+
273,30.0,+
274,32.0,+
275,34.0,+
276,34.0,+
277,34.0,+
278,34.0,+
279,34.0,+
280,32.0,+
281,32.0,+
282,32.0,+
283,32.0,+
284,32.0,+
285,32.0,+
286,32.0,+
287,30.0,+
288,30.0,+
289,30.0,+
290,30.0,+
291,30.0,+
292,30.0,+
293,32.0,+
294,32.0,+
295,32.0,+
296,34.0,+
297,34.0,+
298,34.0,+
299,34.0,+
300,34.0,+
301,36.0,+
302,36.0,+
303,36.0,+
304,36.0,+
305,36.0,+
306,36.0,+
307,36.0,+
308,36.0,+
309,36.0,+
310,36.0,+
311,36.0,+
312,36.0,+
313,34.0,+
314,34.0,+
315,32.0,+
316,32.0,+
317,34.0,+
318,34.0,+
319,34.0,+
320,34.0,+
321,34.0,+
322,34.0,+
323,36.0,+
324,36.0,+
325,36.0,+
326,36.0,+
327,36.0,+
328,36.0,+
329,34.0,+
330,34.0,+
331,34.0,+
332,34.0,+
333,36.0,+
334,36.0,+
335,34.0,+
336,32.0,+
337,32.0,+
338,32.0,+
339,32.0,+
340,32.0,+
341,32.0,+
342,32.0,+
343,34.0,+
344,36.0,+
345,36.0,+
346,36.0,+
347,36.0,+
348,32.0,+
349,30.0,+
350,30.0,+
351,30.0,+
352,30.0,+
353,30.0,+
354,30.0,+
355,30.0,+
356,30.0,+
357,30.0,+
358,30.0,+
359,30.0,+
360,30.0,+
361,30.0,+
362,30.0,+
363,30.0,+
364,30.0,+
365,30.0,+
366,30.0,+
367,30.0,+
368,30.0,+
369,30.0,+
370,28.0,+
371,28.0,+
372,28.0,+
373,30.0,+
374,30.0,+
375,28.0,+
376,26.0,+
377,26.0,+
378,26.0,+
379,26.0,+
380,26.0,+
381,26.0,+
382,26.0,+
383,28.0,+
384,26.0,+
385,26.0,+
386,26.0,+
387,26.0,+
388,26.0,+
389,26.0,+
390,26.0,+
391,28.0,+
392,28.0,+
393,28.0,+
394,26.0,+
395,26.0,+
396,26.0,+
397,24.0,+
398,24.0,+
399,26.0,+
400,26.0,+
401,26.0,+
402,24.0,+
403,24.0,+
404,24.0,+
405,24.0,+
406,24.0,+
407,24.0,+
408,22.0,+
409,22.0,+
410,22.0,+
411,22.0,+
412,22.0,+
413,22.0,+
414,22.0,+
415,24.0,+
416,24.0,+
417,26.0,+
418,24.0,+
419,24.0,+
420,24.0,+
421,24.0,+
422,24.0,+
